Date,AAPL,BA,T,MGM,AMZN,IBM,TSLA,GOOG,FB,TWTR,NFLX,sp500
8/11/2014,95.989998,120.800003,34.470001,24.809999,318.329987,187.470001,259.320007,566.325134,73.440002,43.27,64.505714,1936.920044
8/12/2014,95.970001,120.470001,34.639999,24.809999,319.320007,187.339996,259.959991,561.18927,72.830002,43.810001,63.772858,1933.75
8/13/2014,97.239998,121.980003,34.689999,24.950001,326.279999,187.949997,260.309998,573.206238,73.769997,44.150002,64.504288,1946.719971
8/14/2014,97.5,124.110001,34.91,25.139999,333.209991,187.880005,261.380005,573.076599,74.300003,45.330002,64.410004,1955.180054
8/15/2014,97.980003,123.160004,34.740002,25.040001,333.630005,187.380005,262.01001,571.909851,73.629997,44.759998,65.584282,1955.060059
8/18/2014,99.160004,124.980003,34.650002,25.15,334.529999,189.360001,259.940002,580.56604,74.589996,45.119999,66.571426,1971.73999
8/19/2014,100.529999,125.580002,34.48,25.110001,335.130005,190.070007,256.76001,585.253174,75.290001,45.09,66.878571,1981.599976
8/20/2014,100.57,127.349998,34.529999,25.209999,335.779999,190.100006,255.710007,582.889648,74.809998,45.060001,67.455711,1986.51001
8/21/2014,100.580002,127.5,34.639999,25.1,332.910004,191.229996,254.339996,581.772766,74.57,45.110001,67.435715,1992.369995
8/22/2014,101.32,127.459999,34.5,25.08,331.589996,190.410004,256.779999,580.964966,74.57,45.98,68.455711,1988.400024
8/25/2014,101.540001,128.330002,34.509998,24.889999,334.019989,191.160004,262.549988,578.61145,75.019997,46.099998,68.704285,1997.920044
8/26/2014,100.889999,128.600006,34.5,24.870001,341.829987,192.990005,261.73999,576.277832,75.959999,48.169998,68.480003,2000.02002
8/27/2014,102.129997,128.199997,34.75,24.629999,343.179993,192.25,263.25,569.436584,74.629997,48.060001,67.814285,2000.119995
8/28/2014,102.25,127.110001,34.740002,24.860001,340.019989,192,263.859985,567.641541,73.860001,49.43,67.887146,1996.73999
8/29/2014,102.5,126.800003,34.959999,24.469999,339.040009,192.300003,269.700012,570.034973,74.82,49.75,68.234283,2003.369995
9/2/2014,103.300003,125.480003,34.84,23.83,342.380005,191.559998,284.119995,575.749268,76.68,51.02,68.085716,2002.280029
9/3/2014,98.940002,125.940002,34.970001,23.93,339,191.949997,281.190002,576.357605,75.830002,49.330002,68.19857,2000.719971
